Time(Iteration),DisLinUCB,NIndepLinUCB,HetoFedBandit_Simplified,FCLUB_DC
0,2550,0,0,1
50,3850,0,0,1427
100,4350,0,906,2987
150,4750,0,1812,3981
200,5050,0,2644,4693
250,5350,0,3378,5278
300,5550,0,4070,5761
350,5750,0,4698,6145
400,6050,0,5318,6512
450,6150,0,5886,6832
500,6350,0,6474,7124
550,6550,0,6990,7384
600,6750,0,7470,7628
650,6850,0,7978,7851
700,7050,0,8442,8028
750,7150,0,8900,8227
800,7350,0,9350,8421
850,7450,0,9762,8587
900,7650,0,10196,8752
950,7750,0,10630,8904
1000,7850,0,11006,9052
1050,7950,0,11410,9193
1100,8150,0,11786,9322
1150,8250,0,12164,9457
1200,8350,0,12518,9576
1250,8450,0,12896,9697
1300,8550,0,13248,9805
1350,8650,0,13578,9882
1400,8750,0,13924,9988
1450,8850,0,14254,10099
1500,8950,0,14600,10194
1550,9050,0,14904,10289
1600,9150,0,15228,10383
1650,9250,0,15524,10483
1700,9350,0,15854,10578
1750,9450,0,16118,10647
1800,9550,0,16422,10733
1850,9650,0,16762,10818
1900,9750,0,17042,10885
1950,9850,0,17306,10973
2000,9950,0,17636,11036
2050,10050,0,17934,11121
2100,10150,0,18158,11185
2150,10250,0,18482,11252
2200,10250,0,18720,11326
2250,10350,0,19020,11385
2300,10450,0,19260,11443
2350,10550,0,19542,11521
2400,10650,0,19804,11579
2450,10750,0,20048,11634
2500,10750,0,20320,11691
2550,10850,0,20586,11749
2600,10950,0,20826,11817
2650,11050,0,21040,11835
2700,11050,0,21326,11885
2750,11150,0,21540,11936
2800,11250,0,21828,11996
2850,11350,0,22040,12060
2900,11350,0,22288,12114
2950,11450,0,22514,12166
3000,11550,0,22778,12215
3050,11650,0,22970,12265
3100,11650,0,23228,12310
3150,11750,0,23454,12353
3200,11850,0,23678,12398
3250,11850,0,23920,12438
3300,11950,0,24140,12486
3350,12050,0,24378,12535
3400,12050,0,24570,12585
3450,12150,0,24812,12635
3500,12250,0,25030,12680
3550,12250,0,25224,12718
3600,12350,0,25438,12752
3650,12450,0,25670,12787
3700,12450,0,25890,12835
3750,12550,0,26104,12884
3800,12650,0,26274,12922
3850,12650,0,26490,12954
3900,12750,0,26708,12989
3950,12850,0,26918,13034
4000,12850,0,27120,13079
4050,12950,0,27352,13107
4100,12950,0,27518,13136
4150,13050,0,27704,13184
4200,13150,0,27920,13220
4250,13150,0,28112,13245
4300,13250,0,28308,13286
4350,13250,0,28534,13325
4400,13350,0,28732,13351
4450,13450,0,28902,13386
